TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,VOLTAGE,PRESSURE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO
1033,05:40:52.62,1,F,1,0.0,P,C,N,17.7,7.32,101.3,05:40:52,0.0,19.2105,72.8242,4,0.39,0.35,CXON
1033,05:40:53.31,2,F,2,69.1,P,C,N,17.0,7.28,102.2,05:40:53,69.2,19.2105,72.8242,4,0.78,0.8,CXON
1033,05:40:54.08,3,F,2,142.1,P,C,N,17.7,7.29,103.0,05:40:54,142.3,19.2105,72.8241,4,0.38,0.54,CXON
1033,05:40:55.12,4,F,2,217.1,P,C,N,17.1,7.38,103.9,05:40:55,217.8,19.2104,72.8241,4,0.53,0.69,CXON
1033,05:40:56.08,5,F,2,303.1,P,C,N,17.9,7.32,105.0,05:40:56,303.6,19.2104,72.824,4,0.16,0.82,CXON
1033,05:40:57.68,6,F,2,412.1,P,C,N,17.3,7.31,106.3,05:40:57,412.3,19.2104,72.824,4,0.54,0.22,CXON
1033,05:40:58.05,7,F,2,530.7,P,C,N,18.0,7.38,107.8,05:40:58,530.7,19.2103,72.8239,4,0.03,0.9,CXON
1033,05:40:59.68,8,F,3,675.2,P,C,N,17.0,7.3,109.6,05:40:59,675.2,19.2103,72.8239,4,0.94,0.3,CXON
1033,05:41:00.72,9,F,3,699.3,P,C,N,17.1,7.36,109.9,05:41:00,699.3,19.2103,72.8238,4,0.63,0.21,CXON
1033,05:41:01.20,10,F,3,707.9,P,C,N,17.0,7.33,110.0,05:41:01,707.9,19.2102,72.8238,4,0.8,0.81,CXON
1033,05:41:02.22,11,F,3,719.5,P,C,N,17.1,7.33,110.2,05:41:02,719.5,19.2102,72.8237,4,0.17,0.45,CXON
1033,05:41:03.90,12,F,4,703.6,P,C,N,17.9,7.28,110.0,05:41:03,703.6,19.2102,72.8237,4,0.01,0.84,CXON
1033,05:41:04.19,13,F,4,688.4,P,C,N,17.6,7.35,109.8,05:41:04,688.4,19.2102,72.8237,4,0.48,0.26,CXON
1033,05:41:05.58,14,F,4,671.9,P,C,N,17.1,7.33,109.6,05:41:05,671.9,19.2101,72.8236,4,0.31,0.3,CXON
1033,05:41:06.04,15,F,4,656.7,P,C,N,17.6,7.36,109.4,05:41:06,656.7,19.2101,72.8236,4,0.71,0.06,CXON
1033,05:41:07.12,16,F,4,639.9,P,C,N,17.9,7.38,109.1,05:41:07,639.9,19.2101,72.8236,4,0.24,0.17,CXON
1033,05:41:08.46,17,F,4,623.9,P,C,N,17.4,7.33,109.0,05:41:08,623.9,19.2101,72.8236,4,0.27,0.64,CXON
1033,05:41:09.45,18,F,4,608.1,P,C,N,17.0,7.34,108.8,05:41:09,608.1,19.2101,72.8235,4,0.27,0.58,CXON
1033,05:41:10.94,19,F,4,593.4,P,C,N,17.3,7.38,108.6,05:41:10,593.4,19.2101,72.8235,4,0.22,0.39,CXON
1033,05:41:11.19,20,F,4,576.9,P,C,N,17.9,7.32,108.4,05:41:11,576.9,19.2101,72.8235,4,0.49,0.59,CXON
1033,05:41:12.05,21,F,4,561.2,P,C,N,17.7,7.38,108.2,05:41:12,561.2,19.2101,72.8235,4,0.36,0.94,CXON
1033,05:41:13.04,22,F,4,545.5,P,C,N,17.3,7.35,108.0,05:41:13,545.5,19.2101,72.8235,4,0.43,0.14,CXON
1033,05:41:14.39,23,F,4,529.1,P,C,N,17.9,7.29,107.8,05:41:14,529.1,19.21,72.8234,4,0.47,0.81,CXON
1033,05:41:15.38,24,F,4,513.6,P,C,N,17.6,7.35,107.6,05:41:15,513.6,19.21,72.8234,4,0.53,0.82,CXON
1033,05:41:16.89,25,F,4,498.3,P,C,N,17.2,7.31,107.4,05:41:16,498.3,19.21,72.8234,4,0.55,0.63,CXON
1033,05:41:17.75,26,F,4,482.6,P,C,N,17.4,7.35,107.2,05:41:17,482.6,19.21,72.8234,4,0.04,0.46,CXON
1033,05:41:18.60,27,F,4,467.1,P,C,N,17.7,7.35,107.0,05:41:18,467.1,19.21,72.8234,4,0.32,0.63,CXON
1033,05:41:19.93,28,F,4,451.1,P,C,N,17.9,7.33,106.8,05:41:19,451.1,19.21,72.8233,4,0.41,0.5,CXON
